Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Centro;Toscana;FI;cap;419,37;546,53;293,75;553,69;312,37;291,66;264,36;344,46;287,5;295,48;233,03;340,8;282,22;338,78;279,68;385,63;294,39;328,62;300,5;433,96;386,32;455,31;339,38;426,02;407,57;536,24;429,53;489,22;434,12;544,12;437,58;599,75;505,48;595,15;408,81;533,47;337,85;459,71;363,49;542,61;475,19;549,85;408,92;796,45;552,47;680,35;493,53;551,38;430,39;509,37;404,8;654,53;477,16;571,73;391,78;672,25
Centro;Toscana;FI;NonCap;814,24;1045,25;770,25;1015,72;707,92;832,68;650,13;659,49;568,69;636,47;558,93;681,73;592,46;702,53;601,3;774,26;632,7;736,38;660,22;819,7;751,84;893,25;864,99;960,61;765,29;935,43;697,82;1038,5;797,01;1049,82;870,87;1247,04;895,49;994,79;866,77;1028,15;847,62;781,94;920,54;1247,94;1055,83;1251,5;1116,05;1306,85;1106,53;1290,81;1116,34;1161,57;965,12;996,15;912,28;1076,91;915,85;1053,23;925,72;1217,33
Centro;Toscana;GR;cap;131,68;150,21;126,59;209,09;137,67;120,17;100,84;120,65;81,02;110,01;78,59;112,45;111,74;106,95;95,03;104,17;67,2;83,03;82,82;137,37;105,25;114,83;129,14;107,19;105,16;175,06;100,78;142;89,5;139,5;136,96;146,96;125,04;173;162,42;155;118,93;109,34;107,71;191,72;202,16;189,67;179,71;215,56;170,44;282,87;165,32;207,99;173,35;170,54;160,51;146,87;140,17;152,27;134,95;204,34
Centro;Toscana;GR;NonCap;192,58;243,15;289,83;309,58;170,72;194,25;133,26;212,7;110,29;269,95;111,07;189,9;175,23;170,21;147,25;192,41;143,1;207,66;162,08;194,28;141,53;215,09;134,06;171,49;159,22;192,56;160,16;215,93;191,29;219,08;147,71;202,28;203,04;209,57;205,71;218,79;164,58;142,07;204,24;287,99;261,78;331,49;305,84;303,48;305,44;412,42;357,02;327,99;271,99;299,92;232,56;296,64;248,57;284,77;230,13;328,98
Centro;Toscana;LI;cap;182,64;235,51;177,67;240,27;163,05;187,02;181,89;179,9;124,68;164,08;149,68;163,17;122,41;152,86;151,9;171,65;126,32;147,67;143,05;190,68;178,79;185,04;237,6;239,31;163,55;223,39;197,75;211,16;185,79;216,17;194,24;248,72;224,14;212,92;212,27;228,42;218,01;190,19;167,18;284,66;206,48;264,08;237,34;281,7;282,3;278,8;224,53;296,63;189,14;206,45;197,07;240,06;166,08;235,61;205,98;233,15
Centro;Toscana;LI;NonCap;294,82;336,16;246,41;336,53;240,4;272,57;198,27;217,84;193,98;238,83;177,64;225,18;192,32;197,24;186,51;228,17;194,77;235,81;268;267,09;242,56;317,67;257,8;293,4;254,36;281,71;273,03;317,77;248,17;339,26;309,95;363,36;288,42;313,98;260,16;330,23;253,81;267,29;284,24;392,79;310,49;479,23;370,82;474,19;431,15;520,6;427,94;489,79;341,75;376,98;324,94;403,44;294,36;406,62;327,39;507,53
Centro;Toscana;LU;cap;107,45;177,59;129,61;141,17;61,78;112,06;115,98;102,9;74,39;95,48;115,03;126,25;107,51;86,8;62,93;88,02;85,13;100,33;81,02;117,97;77,47;95,96;109,21;113,58;86,88;141,7;119,65;116,26;99,61;132,59;111,2;117,82;93,2;154,68;120,09;117,76;81,62;93,77;76,36;183,92;160,34;149,66;157,02;153,03;178,08;185,59;170,71;213,4;100,21;117,77;129,71;109,18;110,07;113,6;117,5;166,72
Centro;Toscana;LU;NonCap;190,45;225,33;191,13;227,47;171,25;153,67;153,81;179,29;153,47;132,07;156,12;151,29;140,38;157,77;135,57;138,73;124,06;144,45;155,03;204,7;179,48;213,89;158,34;189,69;188,74;194,49;183,33;230,57;152,57;205,37;172,12;250,44;236,53;254,1;181,01;251,76;185,27;180,67;211,39;249,9;198,79;311,12;291,13;333,81;273,93;308,11;273,05;313,23;228,33;306,76;248,01;259,28;212,92;262,77;227,59;294,83
Centro;Toscana;MS;cap;58,11;77,84;63,5;85,22;44,75;43;44,59;49,8;45,19;60,5;29,97;41,75;41,03;65,17;36,33;44,36;46,96;52,69;33,27;33,41;38,5;42,5;31,29;50,11;46,6;60,61;70,57;55,77;44,48;69,93;44,73;56,17;57,92;69,51;50,89;141,16;18,7;42,11;40,95;73,89;40,73;65,71;94,11;90,77;81,92;105,5;70,71;82,89;72,96;99,5;68,79;69,27;73,75;63,19;72,12;70,83
Centro;Toscana;MS;NonCap;88,25;102,98;124,35;105,87;51,6;75,99;59,5;79,83;47,33;63,16;72,92;87,5;58,35;68,49;44,33;47,43;46,83;47,17;66,15;64,66;66,27;87,22;74,03;59,6;52,29;54,55;68,23;75,31;76,71;91,06;96,31;98,75;66,43;112,03;86,98;85,31;83,35;52,66;74,7;93,2;84,6;112,55;124,63;118,45;125,83;168,32;113,53;101,27;102,78;98,93;150,1;115,84;100,87;127,78;116,61;148,71
Centro;Toscana;PI;cap;123,14;137,45;149,79;158,58;78,67;155,93;84,73;117,76;90,12;117,4;81,67;131,06;121,84;102,6;82,61;125,5;97,49;152,67;140,4;293,07;142,21;201,05;123,07;215,63;122,28;239,02;146,77;216,8;134,4;164,66;172,48;182,73;146,46;173,74;133,2;200,85;143,67;125,71;123,93;220,68;157;154,86;188,96;220,8;152,87;219,89;170,49;235,62;165,17;186,65;167,25;264,43;174,63;219,95;150,34;207,53
Centro;Toscana;PI;NonCap;438,1;515,42;532,03;550,89;366,7;365,49;297,2;368,29;318,05;312,7;222,21;309,79;272,98;253,22;251,44;364,71;235,62;324,17;269,99;345,18;329,18;355,51;359,1;433,04;333,21;462,19;411,37;458,58;339,75;425,7;431,63;544,3;433,24;547,93;443,41;528;323,52;379,1;442,31;576,78;513,41;614,95;542,11;658,03;538,29;715,85;563,03;694,95;461,34;458,49;433,26;576,45;408,57;481,4;443,18;588,1
Centro;Toscana;PO;cap;329,7;290,19;255,4;363,91;225,32;211,26;173,07;237,17;381,55;224,97;156,48;191,57;184,31;248,41;185,06;231,59;199,24;281,92;214,63;277,83;280,49;317,2;266,09;317,71;266,41;399,57;336,34;333,87;272,97;371,11;314,84;437,75;334,6;372,61;377,76;399,69;299,12;313,95;268,57;465,41;328,45;409,82;396,92;493,11;422,06;430,42;541,14;417,7;360,11;416,91;308,02;339,24;378,72;406,72;353,03;454,72
Centro;Toscana;PO;NonCap;100,72;85,09;75,67;94,76;62,01;76,52;40,66;99,27;79,25;76,31;49,06;59,14;43,11;86,57;49,91;88,39;55,51;80;72,97;85,86;63,5;93,57;101,59;124,2;75,9;80,67;72;125,1;74,17;105,22;79,76;110,87;95,22;107,79;107,13;115,35;89,5;108,42;109,41;126,83;107,89;108,32;117,85;138,2;120,1;146,84;100,66;110,35;79,98;94,69;69,04;116,02;62,89;101,19;84,18;147,31
Centro;Toscana;PT;cap;82,76;78,63;73,5;109,68;74,1;88,71;72,02;57,27;49,56;69,17;62,86;74,58;66,92;63,23;69,34;71,05;66,75;84,83;68,23;75,16;84,57;109,14;82,77;103,08;96,03;95,75;81,97;118,64;103,64;143,52;84,27;112,8;86,18;148,94;121,09;104,11;80,28;80;84,15;123,29;96,92;128,09;112,32;131,06;120,13;160,46;109,3;119,42;110,54;103,66;113,51;99,87;86,17;126,02;104,5;110,89
Centro;Toscana;PT;NonCap;275,43;359,6;274,76;264,45;276,1;233,97;181,42;241,06;179,48;196,99;145,51;236,64;166,59;169,77;132,37;209,38;153,76;197,73;190,08;244,21;196,03;258,77;270,33;281,36;219,72;271,52;231,06;286,03;247,5;327,66;225,1;356,28;247,83;273,27;245,59;325,9;241,94;227,7;255,46;335,17;280,04;374,2;380,89;385,71;324,03;370,42;334,92;388,11;309,39;362,89;300,69;342,78;261,18;363,29;306,06;382,73
