Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Sud;Puglia;LE;NonCap;94,75;90,55;85,45;111,29;72,9;65,51;67,76;88,75;71,12;80,34;56,68;69,39;62,61;83,76;71,13;46,21;78,11;47,24;77,53;88,91;70,01;71,55;75,04;103,83;61,29;78,13;83,24;105,55;77,73;87,71;74,55;121,96;89,02;91,1;93,02;81,61;56,1;58,44;92,89;103,03;95,48;89,13;115,69;134,48;117,49;126,76;112,93;137,79;110,2;128,42;100,05;139,44;140,46;149,1;116,52;138,59
Sud;Puglia;TA;cap;14,3;27,81;19,62;21,35;16,99;20,02;19,15;22,67;26,65;22,68;15;25,82;28,92;17,07;19,68;25,02;12,69;14,03;20,8;22,35;31,87;26,14;13,52;24,81;17,82;25,49;35,97;28,73;28,57;30,56;28,93;28,51;24,15;38,25;32,06;30,2;30,5;21,39;31,46;44,22;38,8;60,32;48,18;42,35;52,03;65,37;67,87;64,66;44,21;55,04;40,02;53,84;35,06;41,54;45,52;54,29
Sud;Puglia;TA;NonCap;65,23;78,42;69,65;79,65;58,26;65,02;46,48;68,95;47,17;46,98;63,25;64,66;62,59;64,79;48,95;63,75;60,5;51,02;62,07;84,43;59,95;55,06;52,19;81,38;73,74;69,07;79,97;70,26;85,09;88,22;74,83;102,86;86,84;75,77;71,2;92,33;62,61;78,47;86,06;131,89;82,71;129,13;107,24;138,01;102,56;119,77;105,1;154,78;105,08;123,63;105,52;142,94;104,74;108,72;96,23;139,36
Isole;Sardegna;CA;cap;37,68;35;41,31;47,34;19,39;27,19;20,23;35,44;25,5;30,01;25,26;30;37,88;45,27;27,67;35,66;36,21;42,83;49,17;56,62;44;40;56,93;45,53;37,11;60,85;45,48;50,08;36,62;59,2;38,37;66,42;53,99;49;38,72;51,35;34,75;36,5;52,87;87,26;51,83;105,52;54,39;55,17;55,74;73,66;64,13;73,59;44,62;49,27;45,49;63,67;72,17;87,37;56,86;108,53
Isole;Sardegna;CA;NonCap;91,54;144,37;79,28;135,25;76,22;83,03;46,38;93,56;66,57;80,35;57;74,08;49,11;69;65,4;69,19;49,09;60;64,42;86,1;63,22;90,34;69,34;87,26;69,85;95,67;89,92;103,7;72,61;79,42;75,98;116,07;115,47;97,39;75,34;102,33;72;60,25;107,78;113,85;101,09;125,15;98,62;108,92;107,22;156,43;106,2;114,45;105,04;112,96;93,07;119,7;113,11;117,44;104,42;140,54
Isole;Sardegna;NU;cap;9;5;5;3;3;5;4;3;3;5;8;7,67;2;5;2;2;3;7;4;4,67;4;5;4,14;4;4;8,38;4;7;3;6;4;3,5;3;3;4,5;5;7;1;3;3,5;6;9;10;7,86;7,17;11,5;9,09;6,05;9;11,16;15,5;10;9,17;9;12;12,1
Isole;Sardegna;NU;NonCap;11;27,5;16,96;26,19;42,5;25,76;15,67;21,5;17,17;12,8;16,93;17,5;14,8;19,2;14,68;20,34;8;14,13;9,01;18,96;17,83;27,64;19,53;23,36;15,44;16,5;13;14,73;16,84;33,3;9;30,87;24,18;24;19,17;23,4;24;15,36;23,83;35,42;18,03;29,92;33,49;38,75;27,5;27,8;28,68;49,17;31,43;31,4;24,71;53,75;29,5;34,75;35,83;29,54
Isole;Sardegna;OR;cap;5,17;4;1;7;4;5;6;4,4;3,33;8,5;5;0,5;2,5;3;5;6;5;7;7;4;2;19;5;4,26;5;4;5;6,67;15,5;4;6;6;11;8;4;4,5;3;7;10;11;6;8;8;8;3;7;7;5;3;13,5;4,5;4,04;5;5;6;2,89
Isole;Sardegna;OR;NonCap;2;4,75;8;4,91;8,26;6;1;8,16;4;5,5;12,31;5;6,34;5,39;6;6;5;4,33;7,75;7,25;13,06;5;5,8;14,05;7,84;9,67;6,14;5,6;8,47;7,5;10;11,5;9,07;9,94;7;10;3;4,67;10,07;12,25;10,75;8,15;11,11;12,83;8,94;15;10,5;16,78;7,08;12,42;7,17;12,37;9;17,16;12,21;10
Isole;Sardegna;SS;cap;31,5;37,77;25;30;25,64;28,8;17,5;32,4;20,66;18;19;25,5;18,25;14,25;18,93;17,5;12,3;21,8;18,87;16,11;16,25;27,75;25,75;28;22;19;17,83;25,35;19,67;31,8;31,5;32,5;23;24,93;19;28,65;16,08;18,84;23,5;27,25;38,26;25,7;28,35;41,19;33,83;43,07;34,65;40,42;34,25;34,69;22,2;37,21;33,08;29,2;38,45;23,38
Isole;Sardegna;SS;NonCap;120,12;104,16;118,48;114,58;88,03;99,99;66,74;95,61;80,42;88,47;58,17;73,15;57,74;61,81;79,24;91,82;56,86;61,25;80,51;71,43;59,04;83,94;80,3;97,31;88,08;69,6;56,5;134,56;82,14;99,55;69,71;138,2;90,92;117,15;84,55;125,52;72,21;69,21;102,66;150,64;110,17;158,26;135,4;166,3;113,97;158,72;129,88;208,54;116,64;178,79;121,08;161,37;134,03;144,82;112,35;152,5
Isole;Sicilia;AG;cap;14;12,78;11,53;12,2;10,12;8;5,67;6,1;6,17;6;21,77;21;10,32;5,4;2;9,5;12;7,5;6,4;7;8,38;8,4;9,88;11;7,14;9;8,86;23,17;8,7;12,64;11,18;7,5;7,33;3,67;9,04;6,83;2,12;5,85;10,37;19,5;10,77;11,32;8,91;17,75;20;14;20,84;18,2;11,33;6;15,65;22,3;17,07;15,41;21,8;15,12
Isole;Sicilia;AG;NonCap;81,46;105,36;120,67;146,24;66,62;68,94;87,34;95,6;55,9;71,41;83,09;88,27;66,96;66,44;74,85;76,54;70,8;65,71;92,27;101,69;91,31;67,93;77,02;106,58;91,16;102,81;92,3;101,07;98,41;116,48;128,11;88,44;88,09;70,63;106,85;105,5;66,23;53,82;100,31;97,93;99,96;103,52;79,12;135,47;109,13;111,53;124,36;143,95;114,57;131,47;117,94;132,03;111,98;105,33;122,27;133,42
Isole;Sicilia;CL;cap;10,48;12,05;14,97;12,99;7,93;14,09;4,67;15;12,42;11,77;17,17;7;12;3,33;3,84;5,3;7,39;8,75;7;12,66;8,17;15,37;6,92;13;4,03;13,72;12,75;12,5;12,51;9,65;6,02;15,5;10,12;17,47;12,82;11,5;2;9,41;17,21;20,12;11,2;16,36;11,73;26,71;21,81;20,97;9,13;16,73;23,27;22,88;11,15;19,4;16,33;19,81;22,6;23,18
Isole;Sicilia;CL;NonCap;23,89;31,31;25,33;41,66;22,36;13,13;29,39;29,85;19,83;20,78;15,69;37,84;24,25;10,83;32,63;23,75;28,05;20,86;18,8;23,35;17,08;21,1;29,77;29;22,83;16,34;24,79;22,52;17,25;29,34;32,28;23,37;29,84;30,42;30,32;33,05;16,65;20,33;29,17;32,9;34,07;33,01;32,16;44,86;38,16;45,53;41,51;44,96;45,78;44,88;41,5;40,8;39,9;38;48,23;51,09
Isole;Sicilia;CT;cap;31,26;29,8;20,5;23,41;25,34;22,23;20,5;48,12;22,33;14,49;17,97;14,75;8,84;20,53;23,41;14,59;16,5;21,54;22,5;24,33;25,92;33,5;33,58;29,75;29,24;39,93;22,42;34,5;31,5;36,83;21,85;31,35;30,34;56,79;30,34;29,39;19,17;29,03;23,75;44,46;34,3;40,31;34,07;54,43;37,17;67,49;39,08;37,92;37;46,36;41,24;58,47;31,57;51,18;32,88;61,35
Isole;Sicilia;CT;NonCap;169,16;178,78;133,19;260,86;99,83;99,64;118,31;143,31;103,58;107,63;115,79;105,77;99,56;102,85;111,79;145,16;106,7;120,8;103,14;130,69;78,83;147,41;121,14;145,55;138,25;120,8;108,82;153,04;131,17;185,23;168,8;164,02;170,35;130,96;144,59;168,67;113,4;112,67;144,36;167,2;160,07;194,24;158,73;209,48;189,26;181,25;170,09;257,19;192,73;217,24;186,36;213,75;207,88;208,43;189,81;199,84
Isole;Sicilia;EN;cap;3,53;8,32;7,08;6,5;7,12;2;3;8,5;3,04;8,5;4;4;8;4,24;6,07;2;3;6,17;11,5;9;3,53;6,06;4,5;3,6;2,66;3,06;2,33;8,6;2;1,2;7,35;6,98;4,83;3;3,33;15,67;2,5;4,06;4;6;5;8,46;8,17;11,25;5;6,84;12,11;15,68;4,5;7;4,5;20,57;9;13,2;14,08;7,99
Isole;Sicilia;EN;NonCap;29,58;35,73;47,41;56,3;30,04;23,83;39,94;36,27;22,5;26,63;32,91;27,86;25,52;30,06;35,16;35,32;30,18;13;35,12;28,68;22,79;43,67;29,47;51,4;37,13;19,96;31,09;43,96;42,28;32,42;43,1;54,94;29,47;23,94;29,45;40,04;20,66;24,17;46,33;34,88;49,3;45,94;52,95;47,17;35,53;50,16;52,89;62,92;34,37;44,33;50,18;60,89;46,94;38,58;44,5;51,81
Isole;Sicilia;ME;cap;80,09;76,65;51,6;49,12;50,59;57,45;32,5;51,58;53,69;57,26;37,9;61,56;58,33;50,78;38,25;58,2;34,64;62,73;47,27;65,82;54,88;54,08;44,13;52,56;64,52;49,12;42,76;66,96;48,05;80,42;50,71;51,37;54,69;56,8;46,66;54,02;52,35;33;58,84;75,1;61,57;77,83;78,17;83,38;91,62;78,2;89,65;88,51;73,74;65,45;60,14;76,63;60,12;69,42;61,6;70,68
Isole;Sicilia;ME;NonCap;122,05;116,67;125,04;172,18;81,15;105,14;96,44;99,73;78,83;108,54;90,71;98,62;99,55;97,05;119,17;98,37;77,96;85,87;92,28;98,78;93,93;97,29;92,77;156,16;86,58;107,99;95,66;128,02;121,06;116,01;128,76;141,06;92,32;117,23;125,12;120,31;67,41;48,33;134,94;131,39;111,78;166,16;161,48;180,65;121,97;186,18;140,45;151,2;140,81;151,32;131,87;175,29;161,69;137,93;153,45;168,79
Isole;Sicilia;PA;cap;83,33;90,88;69,55;112,28;77,02;55,18;44,24;88,51;61,4;47,76;43,15;64,96;57,68;46,43;47,68;52,74;66,5;68,62;47,24;72,4;43,84;63,83;41,39;62,91;64,79;62,17;51,16;89,99;66,5;101,95;67,69;68,05;82,28;74,47;72,59;94,7;77,68;45,55;51,42;92,99;104,1;108,14;85,42;107,1;139,09;118,43;98,18;110,77;107,6;143,16;89,03;84,24;103,23;111,39;86,97;104,76
Isole;Sicilia;PA;NonCap;106,42;130,43;133,47;182,04;106,41;118,64;111,89;159,25;130,63;112,55;110,23;112,79;94,45;123,94;115,5;124,75;117,8;122,07;113,36;130,8;82,1;116,7;129,74;125,13;115,77;108,71;119,07;150,6;112,52;134,72;116,35;146,52;118,48;132,53;130,68;167,8;126,35;85,24;126,47;135,76;164,47;151,36;191,14;213,71;160,3;168,91;180,85;204,22;194,81;141,71;122,61;192,64;166,73;204,46;172,09;200,52
Isole;Sicilia;RG;cap;15,04;18,92;13,98;14,11;4,05;10,94;5,6;9;16,07;9,34;5,06;18,75;3,5;14;10;5;6;11,6;18,17;7,87;9,45;12;11,81;18,25;18,27;21,07;7,88;14;19,17;14,26;8,68;18;12;13,17;12,84;15,53;16,87;11,72;12,11;35,73;24,42;24,34;24,71;35,97;27,46;35,44;22,53;29,63;30,96;24,93;20,12;30,08;23,54;28,64;29,04;31,49
Isole;Sicilia;RG;NonCap;20,03;61,45;37,38;44,02;27,97;31,51;19,51;25,34;20,33;20,5;22,65;33,5;23,21;32,02;12,57;33,63;19,62;26,83;23,6;33,97;28,75;40,44;18,39;57,43;31,11;30,15;32,09;45,66;38,05;34;37,63;38,08;47,49;51,4;38,57;48,88;30,77;22,59;44,84;39,43;52,01;72,3;51,21;65,33;77,49;90,69;76,27;64,12;53,3;67,57;54,77;81,45;45,17;62,73;48,9;76,64
Isole;Sicilia;SR;cap;10,59;6;1,92;16;8,08;8;6;10,4;4,5;11,66;10,5;9;2,5;11;5,88;16,72;11,64;15,5;9,5;8,49;18,05;12,76;8,33;7,66;13,01;17,53;14,33;16,83;10,38;12,68;10;13;10,4;18,88;9;20,36;9,85;7,71;12,68;9,25;13,59;8,52;10,96;15,5;15,17;14,56;7;15;15,98;13,38;8;18;15,27;22,61;18,19;33,38
Isole;Sicilia;SR;NonCap;32,44;47,89;27,5;61,21;22,92;17,05;22,61;22,18;20;39,55;16,91;34,86;27,84;41,08;30,22;30,91;22,53;31,95;30,74;42,78;31,33;31,69;33,5;51,21;54,34;42,96;42,57;40,65;42,4;54,12;40,28;50,85;57,33;32,77;48,25;45,61;24,47;28,41;58,01;63,94;41,03;69,03;48,42;53,28;43,17;46,58;50,04;53,24;53,03;72,41;60,26;44,79;40,84;48,86;58;55,89
Isole;Sicilia;TP;cap;13,67;9,53;5,84;19,34;9,06;5,5;8,61;7,44;8,97;11;8,25;6,67;12,9;7,5;8,53;10,58;5;5,5;8,61;7,91;4,57;5,5;5,75;8,5;12;7;4;6,33;11;4,32;2,13;4,04;5,5;6,28;6;11,33;7;8,34;8,86;8,33;13,17;7,17;10;11,33;20,5;11,37;21,5;20,75;15,62;16,87;10,53;15;20,47;17,31;18;15,81
Isole;Sicilia;TP;NonCap;57,88;69,01;63,1;110,79;47,29;43,03;38,63;51,75;43,18;56,79;42,62;63,98;43,89;46,27;50,74;58,48;60,58;67,87;49,86;55,04;59,94;48,09;42,23;69,21;64,27;63,03;65,07;88,13;69,6;64,1;57,1;67,56;77,56;54,57;61,01;73,92;51,75;46,87;62,92;66,55;77,18;79,06;87,83;88,12;90,75;100,13;92,24;108,87;82,58;81,96;69,45;101,82;97,08;97,82;89,66;91,81
