Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Nord Est;Veneto;VR;NonCap;42222,67;50085,76;40377,19;53687,808;37310,457;46269,273;44119,874;57676,015
Centro;Lazio;FR;cap;316,5;403,35;400;643,4;344,16;933,63;378;656,5
Centro;Lazio;FR;NonCap;3546,721;3632,42;3287,588;4142,46;3388,187;2999,95;2789,596;5017,779
Centro;Lazio;LT;cap;3303,739;4600,83;3056,58;3082,24;3538,65;4365,318;3475,02;4657,55
Centro;Lazio;LT;NonCap;7380,96;7007,978;5624,53;7190,684;6445,262;7219,52;6193,675;8745,74
Centro;Lazio;RI;cap;1004,89;974,83;781,74;1501,13;929,7;997,4;1010,58;1449,85
Centro;Lazio;RI;NonCap;2468,593;2391,062;1952,44;2659,698;3090,3;2613,24;2693,788;3848,84
Centro;Lazio;RM;cap;88144,093;101081,792;76031,846;109459,598;89827,096;104067,489;77458,265;121238,432
Centro;Lazio;RM;NonCap;43184,873;47435,078;39674,104;59283,541;40930,774;49044,644;45330,48;64597,611
Centro;Lazio;VT;cap;3115,94;2621,87;1974,425;3485,99;1924,31;3416,03;2432,382;4219,195
Centro;Lazio;VT;NonCap;6208,342;6082,468;4782,947;6384,518;6134,17;6717,93;4623,514;7937,825
Centro;Marche;AN;cap;2137,51;2942,184;1889,293;2538,362;2695,107;3012,982;2004,84;2956,446
Centro;Marche;AN;NonCap;15671,43;15316,426;13672,9;18202,141;13721,832;15188,67;13568,155;18660,395
Centro;Marche;AP;cap;1310,2;1373,63;564,162;1236,087;687,961;1096,786;1309,492;1566,48
Centro;Marche;AP;NonCap;8917,67;11125,664;11678,901;12898,145;9654,194;11426,56;10786,642;17566,43
Centro;Marche;MC;cap;1262,52;852,23;1459,8;1900,715;1282,85;1424,76;1022,458;1437,02
Centro;Marche;MC;NonCap;8156,18;10163,438;8497,79;10625,352;8538,292;10014,89;10370,012;13431,409
Centro;Marche;PS;cap;3241,799;3259,38;2799,313;3932,02;2402,74;3166,56;3531,52;5364,229
Centro;Marche;PS;NonCap;9258,447;9858,79;8406,31;13044,11;7876,79;9690,535;12524,45;15918,13
Centro;Toscana;AR;cap;3382,06;3897,95;3655,67;3831,544;2999,36;3423,701;3267,94;3348,02
Centro;Toscana;AR;NonCap;7470,71;7584,49;7051,202;9326,25;6739,207;8418,42;7499,042;10411,236
Centro;Toscana;FI;cap;7517,517;8847,376;6868,072;10963,306;8034,167;10003,654;6450,654;11705,765
Centro;Toscana;FI;NonCap;20085,086;21288,565;19083,42;23144,481;19166,33;22754;19641,208;25363,02
Centro;Toscana;GR;cap;3620,94;3401,82;2915,75;2842,04;2838,27;2869,6;2760,6;3749,726
Centro;Toscana;GR;NonCap;6463,606;6858,761;5555,41;7074,71;5710,43;6576,644;5175,195;7379,781
Centro;Toscana;LI;cap;3475,21;3567,35;3313,05;3957,11;2809,42;3786,77;3375,59;4232,28
Centro;Toscana;LI;NonCap;7589,124;8068,642;6830,24;8765,79;6613,54;8544,58;7132,203;10214,908
Centro;Toscana;LU;cap;2253,25;2146,35;2551,856;2144,29;2057,6;2225,69;2256,82;2899,15
Centro;Toscana;LU;NonCap;4647,572;5952,076;5629,4;5407,6;4746,96;5663,52;5130,685;6088,603
Centro;Toscana;MS;cap;1263,69;1724,82;1143,88;1155,842;1383,5;1027,97;1246,1;1369,123
Centro;Toscana;MS;NonCap;1970,44;2130,735;2774,39;2413,246;2112,042;2650,884;2313,63;3224,112
Centro;Toscana;PI;cap;2666,56;3160,81;2887,14;4391,92;2725,53;3423,09;2646,59;3514,55
Centro;Toscana;PI;NonCap;10429,585;10194,11;9651,26;12652,92;9069,553;10596,3;10150,54;12326,932
Centro;Toscana;PO;cap;6776,984;7631,913;5551,258;6038,165;6365,005;7686,393;6577,38;8217,155
Centro;Toscana;PO;NonCap;1821,568;1998,51;1385,76;2370,24;1428,92;2026,25;1812,211;2811,22
Centro;Toscana;PT;cap;2164,863;2342,23;2377,152;2211,62;1627,44;2685,766;2101,95;2246,2
Centro;Toscana;PT;NonCap;6449,172;7862,484;6295,95;7685,2;5551,397;8646,471;6956,088;8402,123
Centro;Toscana;SI;cap;1908,82;1857,16;1424,99;2060,35;1616,55;1286,05;1948,02;3186,67
Centro;Toscana;SI;NonCap;8935,42;6880,552;8311,293;11632,616;7943,75;10353,6;8539,92;9538,56
Centro;Umbria;PG;cap;7242,3;7614,81;6286,314;8802,243;6757,605;8150,27;7124,29;8944,364
Centro;Umbria;PG;NonCap;17426,158;19316,592;16822,41;20847,082;17807,508;20670,985;18383,091;23113,653
Centro;Umbria;TR;cap;3616,41;3780,74;3590,07;4254,645;3105,23;3839,46;3860,12;4385,28
Centro;Umbria;TR;NonCap;3238,42;3621,936;2549,112;3465,57;2918,105;3205,24;2534,068;3865,865
Sud;Abruzzo;AQ;cap;2247,95;2172,328;2269,61;3279,94;2017,15;2314,1;3056,788;4142,28
Sud;Abruzzo;AQ;NonCap;6815,87;6843,214;6116,52;8852,591;5105,39;5665,36;5976,65;11268,873
Sud;Abruzzo;CH;cap;1498,19;1791,61;1417,43;1156,931;1769,85;1460,9;2214,07;1934,81
Sud;Abruzzo;CH;NonCap;10401,9;10314,66;9217,87;13231,966;8041,61;11338,09;9549,943;15004,871
Sud;Abruzzo;PE;cap;5787,08;4264,67;4965,655;6350,1;4708,45;5073,55;4803,1;9285,694
Sud;Abruzzo;PE;NonCap;6400,644;6542,208;5214,058;6776,494;4961,549;6768,02;6026,55;7619,608
Sud;Abruzzo;TE;cap;1343,1;684,3;805,06;981,08;1024,28;1177,95;942,5;2112,65
Sud;Abruzzo;TE;NonCap;7575,99;9158,967;8215,53;11782,631;8298,27;10973,92;9865,37;17371,407
Sud;Basilicata;MT;cap;1648,26;1898,05;1368,88;2256,427;1752,819;2065,134;2361,47;2987,081
Sud;Basilicata;MT;NonCap;1785,262;1718,147;2014,97;2553,84;1469,94;2210,29;1649,894;2046,4
Sud;Basilicata;PZ;cap;2066,75;1609,68;1293,22;2082,39;1575,45;2214,182;1479,3;1676,795
Sud;Basilicata;PZ;NonCap;2992,574;3212,49;3030,762;4719,264;2220,75;3494,274;3032,574;3024,312
Sud;Calabria;CS;cap;1025,6;1697,31;1257,23;1869,57;1098,9;1176,08;913,625;2571,63
Sud;Calabria;CS;NonCap;5358,838;6950,998;5029,929;7689,059;6144,23;6082,937;6134,129;7004,43
Sud;Calabria;CZ;cap;200;277,3;429,7;383,939;107,56;359,32;266,38;1002,2
Sud;Calabria;CZ;NonCap;1704,42;1792,29;1708,98;2101,948;1764,76;1567,623;1487,83;2119,37
Sud;Calabria;KR;cap;575,13;522,16;484,34;728,64;809,84;915,5;657,5;682,18
Sud;Calabria;KR;NonCap;381;385,41;661,35;785,62;652,4;271,6;430,596;381,19
Sud;Calabria;RC;cap;1827,91;1566,9;1979,23;2431,41;1776,3;1627,85;1639,96;2844,78
Sud;Calabria;RC;NonCap;1395;1430,132;1719,32;1638,695;1599,695;1415,72;1595,177;2217,751
Sud;Calabria;VV;cap;365,84;104,16;343,2;441;401,59;518,4;426,88;240,18
Sud;Calabria;VV;NonCap;666,92;537,34;486,44;653,5;429,679;619,534;739,4;647,297
Sud;Campania;AV;cap;1589,32;1203,2;1285,86;2360,463;1769,2;1982,25;1281,5;1601,77
Sud;Campania;AV;NonCap;4858,566;5201,02;5789,839;7062,732;5769,562;6062,608;5111,311;5855,174
Sud;Campania;BN;cap;960,4;1058,08;725,45;689,9;845,79;1226,3;725,88;1186,7
Sud;Campania;BN;NonCap;1604,3;1656,36;1539,54;1415,09;983,85;1618;1516,325;2448,6
Sud;Campania;CE;cap;2608,64;3104,105;2510,708;3721,564;2633,588;3098,286;4009,08;5239,78
Sud;Campania;CE;NonCap;22634,52;17082,786;13822,781;17538,744;15247,69;17490,936;13517,489;21159,85
Sud;Campania;NA;cap;7295,658;6574,78;5700,01;8245,89;6742,779;8321,272;4660,108;8538,76
Sud;Campania;NA;NonCap;27126,138;27929,449;22722,46;31435,735;25409,535;26226,41;21759,833;39912,451
Sud;Campania;SA;cap;2701,728;4207,408;3804,695;6165,81;3117,51;2826,91;2287,56;3884,17
Sud;Campania;SA;NonCap;16525,297;16806,759;12269,791;17745,517;14622,616;16206,507;13430,641;22868,265
Sud;Molise;CB;cap;1719,47;1624,586;1090;1869,028;1420,46;1221,67;1177,93;1616,05
Sud;Molise;CB;NonCap;3722,566;4223,03;4332,44;4405,498;4308,563;4195,685;3644,242;7066,98
Sud;Molise;IS;cap;285;309,17;258;513,82;281,1;184;335,72;171
Sud;Molise;IS;NonCap;705,65;480,91;696,1;1108,96;551,791;447,38;693,925;890,851
Sud;Puglia;BA;cap;7221,825;8112,087;6933,648;14789,878;6882,748;10326,5;10124,15;40445,05
Sud;Puglia;BA;NonCap;32702,06;38277,83;28287,389;43608,235;32150,437;37522,365;31679,18;67353,361
Sud;Puglia;BR;cap;2037,36;2238,082;1934,794;2559,31;1855,84;2844,07;1732,856;2078,6
Sud;Puglia;BR;NonCap;5062,756;6156,8;4766,922;5574,396;5438,305;5831,325;4348,022;5439,45
Sud;Puglia;FG;cap;4042,85;4210,8;3431,12;4376,56;3354,78;4855,88;4145,79;6567,75
