Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Sud;Abruzzo;AQ;cap;21085,38;20519,97;18586,96;25229,86;19568,24;21386,91;27671,67;30191,71
Sud;Abruzzo;AQ;NonCap;66419,07;78940,87;67756,795;100233,96;66666,13;75035,385;70153,57;108538,38
Sud;Abruzzo;CH;cap;15492,82;18074,51;15090,24;15490,91;14248,5;13227,19;20085,04;20648,58
Sud;Abruzzo;CH;NonCap;87137,5;93719,69;84153,92;109735,05;84949,76;100725,87;92492,84;129221,8
Sud;Abruzzo;PE;cap;40711,085;36625,4;36896,79;47386,66;38122,05;44789,79;42083,07;60877,33
Sud;Abruzzo;PE;NonCap;53644,97;54143,09;47977,38;58248,76;43436,78;62034,8;54873,62;63133,26
Sud;Abruzzo;TE;cap;12838,72;10109,1;11009,64;15672,735;10414,4;13145,95;14086,105;19648,055
Sud;Abruzzo;TE;NonCap;66620,34;84497,52;73120,6;93550,635;74486,48;91137,99;79524,91;112851,97
Sud;Basilicata;MT;cap;13933,31;17874,06;12374,34;16730,07;13675,51;14086,56;15535,36;19992,05
Sud;Basilicata;MT;NonCap;25694,77;29128,19;25116,94;27126,54;25885,09;27328,97;22838,03;29858,12
Sud;Basilicata;PZ;cap;15170,97;13647,79;10696,39;18713,32;11784,06;16015,58;12172,22;15605,84
Sud;Basilicata;PZ;NonCap;46441,4;45911,085;43882,13;60415,255;38258,25;45095,865;46451,19;50319,93
Sud;Calabria;CS;cap;18236,55;20335,59;19182,47;22059,35;16510,05;18872,9;15955,58;30091,09
Sud;Calabria;CS;NonCap;143025,21;168158,215;157012,445;185812,4;147510,835;163044,565;160657,01;181503,35
Sud;Calabria;CZ;cap;16277,68;22603,7;20844,39;19978,655;20514,49;20032,16;25286,39;24225,04
Sud;Calabria;CZ;NonCap;52749,59;55638,42;57744,82;62080,37;54657,34;58292,87;54776,87;67605,255
Sud;Calabria;KR;cap;10895,955;14300,18;11760,44;13174,57;15782,53;14061,09;10914,135;11667,81
Sud;Calabria;KR;NonCap;17876,84;20279,59;18193,83;23106,45;16183,29;17701,48;21580,45;18541,34
Sud;Calabria;RC;cap;31589,77;32315,74;27265;36759,98;32464,65;29218,01;27899,5;37001,3
Sud;Calabria;RC;NonCap;47473,37;54608,05;56458,89;63526,46;48607,61;52164,305;55219,795;61994,255
Sud;Calabria;VV;cap;4423,75;8074,46;7966,66;6210,41;5736,25;7415,16;5011,97;9388,51
Sud;Calabria;VV;NonCap;23747,3;27117,775;18483,15;31841,66;24835,1;23406,45;23189,35;25692,02
Sud;Campania;AV;cap;12694,43;13042;10009,27;17485,98;13396,41;17508,1;11940,45;14924,63
Sud;Campania;AV;NonCap;62670,875;73245,77;71679,32;91507,59;66868,165;84392,97;73723,87;83164,94
Sud;Campania;BN;cap;14111,415;16841,34;12287,33;18491,19;14047,19;20262,01;16587,77;17994,27
Sud;Campania;BN;NonCap;43015,82;42435,275;39485,71;49106,82;38980,29;43388,37;41552,16;63839,73
Sud;Campania;CE;cap;20614,63;27590,08;22352,36;25676,13;22289,97;25998,005;26042,575;32138,36
Sud;Campania;CE;NonCap;204108,625;209437,225;180507,6;223542,715;182679,775;211372,095;173398,065;246059,275
Sud;Campania;NA;cap;184971,525;201944,735;158696,67;201533,125;174026,065;200738,72;153484;196834,255
Sud;Campania;NA;NonCap;348986,94;373826,715;307651,155;402286,68;328589,06;378137,16;293595,515;412679,74
Sud;Campania;SA;cap;31374,74;39835,3;31480,88;42347,51;31092,46;37220,87;30616,635;34472,14
Sud;Campania;SA;NonCap;191947,005;208531,95;180239,675;219651,17;187408,57;207860,2;183310,96;242551,425
Sud;Molise;CB;cap;14649,43;15577,56;13391,67;16159,61;15890,17;14971,77;13166,21;15765,69
Sud;Molise;CB;NonCap;46464,93;51423,97;47254,835;53996,97;48735,035;50040,03;47497,7;69253,92
Sud;Molise;IS;cap;3730,43;5162,7;4239,34;6917,55;3049,35;5144,37;5130,2;4073,5
Sud;Molise;IS;NonCap;15737,39;12852,94;14826,54;16718,49;13978,65;12964,315;13440,97;17224,29
Sud;Puglia;BA;cap;94056,42;118431,8;87235,69;113116,1;85582,78;104899,65;97131,33;222664,72
Sud;Puglia;BA;NonCap;317155,105;345729,525;289457,755;381355,165;292235,995;350667,03;302878,5;463660,125
Sud;Puglia;BR;cap;22968,66;26342,875;22870,25;28525,775;24008,905;26362,76;20246,34;26066,57
