Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Sud;Puglia;TA;NonCap;2004,304;2578,6;1705,674;2861,562;1975,542;2115,654;1826,146;2625,578
Isole;Sardegna;CA;cap;489,212;588,244;546,63;835,85;796,25;820,33;542,396;1198,338
Isole;Sardegna;CA;NonCap;1528,996;1575,2;1265,924;1791,452;1595,518;1611,452;1434,974;1899,404
Isole;Sardegna;NU;cap;82;183,92;194,3;143,2;106,95;146;177,8;148
Isole;Sardegna;NU;NonCap;651,26;623,7;463,4;1085,21;546,2;716,644;770,54;620,998
Isole;Sardegna;OR;cap;45,5;155,9;78,2;93,28;70;86;44,2;48,92
Isole;Sardegna;OR;NonCap;143,78;310,35;164,68;239,004;148,4;360,92;223,68;234
Isole;Sardegna;SS;cap;647,18;604,17;444,868;597,5;565,692;514;666,49;401,2
Isole;Sardegna;SS;NonCap;1942,208;3156,052;1873,514;2654,278;2171,44;2237,528;1783,09;2562,714
Isole;Sicilia;AG;cap;230,14;117,4;324,2;477,32;365,04;345,098;471,56;394,08
Isole;Sicilia;AG;NonCap;2864,444;3272,612;2947,33;3229,082;2635,218;2609,692;2952,08;2994,324
Isole;Sicilia;CL;cap;460,832;471,17;296,25;386,876;394,74;397,132;522,48;528,518
Isole;Sicilia;CL;NonCap;887,23;914,628;934,14;928,068;925,99;915,85;1123,44;1067,066
Isole;Sicilia;CT;cap;502,08;761,11;690,18;942,38;442;870,51;555,66;917,38
Isole;Sicilia;CT;NonCap;4070,046;4455,512;4085,162;4846,528;4448,538;4499,088;3891,558;4177,838
Isole;Sicilia;EN;cap;89,6;158,8;72,994;400,33;223;264,24;331,62;195,04
Isole;Sicilia;EN;NonCap;720,318;1101,948;1126,24;1332,23;1016,96;942,392;1108,8;1175,83
Isole;Sicilia;ME;cap;1319,326;1068,14;954,032;1310,55;910,746;1084,106;1157,974;1124,3
Isole;Sicilia;ME;NonCap;3015,158;3041,63;2593,592;3713,798;3596,616;2957,28;3270,254;3315,9
Isole;Sicilia;PA;cap;2015,99;2446,31;1393,8;1493,538;1701,502;2018,374;1575,34;2051,012
Isole;Sicilia;PA;NonCap;4492,828;3258,598;2703,814;4577,214;3867,888;4687,02;3991,978;4484,138
Isole;Sicilia;RG;cap;547,346;403,66;458,9;550,186;553,616;404,598;553,99;509,792
Isole;Sicilia;RG;NonCap;1172,83;1396,4;1216,352;1685,932;850,102;1454,296;1083,11;1740,096
Isole;Sicilia;SR;cap;330,576;268,92;182,9;326,4;274,936;409,05;382,46;579,98
Isole;Sicilia;SR;NonCap;1358,484;1700,992;1494,202;967,014;1004,11;1203,548;1367,33;1341,566
Isole;Sicilia;TP;cap;250,486;275,708;158,976;286,5;426,68;317,88;304,8;206,47
Isole;Sicilia;TP;NonCap;1740,078;1871,488;1624,432;2297,73;2195,724;2149,53;1983,35;2058,154
