Area;Regione;prov;Cap;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
Nord Ovest;Lombardia;MI;NonCap;7461,89;9271,81;7184,06;9513,65;6297,26;7139,03;5286,43;6387,26;5130,01;6187,73;4759,81;6111,64;5399,84;6024,54;5188,81;6533,77;5249,68;7038,79;5791,71;7467,1;6512,95;8640,67;6927,72;8913,73;7135,97;8917,65;7066,39;9491,18;7469,77;9787,46;7598,69;10051,51;8415,64;10035,76;8043,26;10323,61;6927,13;7915,18;8082,14;11030,82;9771,7;12567,25;10168,02;12217,84;10865,96;12632,91;10369,83;12210,03;9726,1;11218,55;9092,99;11991;8782,19;11330,97;9304,34;12710,47
Nord Ovest;Lombardia;MN;cap;102,67;195,86;142,7;191,06;110,77;99,66;64,22;102,1;79,4;118,02;62,26;95,01;86;83,94;63,34;108,42;79,29;122,41;104,11;122,51;104,92;144,1;110,17;125,08;127,06;158,17;132,17;144,99;145,5;137,39;122,83;208,43;135,23;195,38;139,22;189,24;201,39;139,8;280,84;313,89;220,23;259,23;222,43;282,07;183,94;237,56;241,8;296,19;183,7;240,28;167,11;224,25;195,72;247,96;183,22;258,73
Nord Ovest;Lombardia;MN;NonCap;701,09;829,28;710,64;845,81;502,96;492,3;506,07;592,85;451,57;519,04;413,13;584,44;463,68;483,1;431,54;613,44;445,88;562,11;541,28;685,99;528,55;754,39;625,29;730,63;609,64;728,65;665,97;797,68;661,74;759,74;726,75;859,64;682,82;877,82;820,22;979,37;654,63;644,7;801,35;1061,31;878,75;1127,82;1029,02;1204,87;1049,06;1232,44;1082,65;1232,61;890,7;1078,6;1063,09;1228,44;944,49;1091,61;999,79;1221,06
Nord Ovest;Lombardia;PV;cap;239,69;274,53;221,21;331,84;223,2;198,68;139,83;230,98;184,4;232,92;173,9;226,11;179,25;245,03;191,99;212,36;160,55;221,7;227,94;219,41;213,24;247,71;203,34;227,05;224,84;264,79;192,94;251,84;234,34;258,84;247,93;327,45;226,36;280,79;233,25;300,76;226,77;227,03;216,62;465,89;265,11;299,99;255,71;334,8;289,77;366,29;260,7;327,65;277,75;295,47;224,35;329,65;207,13;308,87;271,59;373,74
Nord Ovest;Lombardia;PV;NonCap;1283,83;1487,7;1244,98;1527,84;827,48;1083,5;801,01;1037,62;732,82;925,49;707,64;802,09;812,13;854,92;698,05;930,52;722,2;956,23;786,1;1033,18;898,12;1210,39;1028,99;1128,14;1007,94;1226,02;1049,1;1261,6;1048,97;1229,25;1016,3;1487,7;1088,23;1414,23;1117,43;1480,82;948,67;981,17;1312,84;1682,03;1471,22;1881,35;1590,91;1846,08;1615,61;1897,6;1591,45;1999,24;1674,99;1819,9;1523,63;2063,24;1681,78;1921,25;1565,23;2194,41
Nord Ovest;Lombardia;SO;cap;43,56;54,32;74,59;65,7;49,5;45,61;26,5;50,07;42,26;45,5;45,56;46,07;40,6;45,59;53,39;49,69;40,25;46,04;38,54;50,62;42,61;58,91;47,83;50,25;47,23;50,41;41,83;66,77;51,75;56,57;50,51;53,14;39,54;61,73;53,51;47,52;44,24;39,34;42,9;112,66;73,76;76,47;84,06;74,53;55,09;64,86;74,38;123,04;78,39;68,36;71,13;102,98;54,94;60,81;73,16;149,75
Nord Ovest;Lombardia;SO;NonCap;344,98;459,01;422,27;503,54;323,04;318,76;244,31;321,84;263,51;284,08;216,62;360,71;248,99;289,23;268,73;307,72;226,74;330,94;248,82;357,85;279,2;398;425,68;414,52;323,44;342,56;317,5;437,28;296,49;370,27;309,06;467;331,66;419,26;322,39;539,76;320,26;336,55;469,12;630,04;473,16;621,79;536,21;715,89;548,2;655,78;489,58;744,45;544,46;593,53;487,42;740,43;476,51;563,32;525,77;771
Nord Ovest;Lombardia;VA;cap;196,33;244,2;177,05;267,26;164,87;183,46;125,08;171,28;121,11;146,26;119,79;157,63;146,84;184,51;144,14;193,88;144,5;188,55;145,5;181,13;157,71;223,54;197,54;213,63;197,42;242,26;175,53;237,15;208,97;285,95;179,59;278,86;242,51;285,73;207,15;280,13;173,16;183,83;217,99;294,21;263,57;327,69;256,19;345,14;293,6;309,83;272,2;364,83;278,19;274,1;253,09;393,45;285,37;339,4;248,14;313,47
Nord Ovest;Lombardia;VA;NonCap;1997,8;2456;1921,49;2640,94;1740,21;1955,98;1604,58;1890,52;1406,05;1681,04;1315,82;1819,41;1332,71;1708,84;1515,58;1842,17;1396,72;1766,21;1603,28;1996,99;1721,18;2186,53;2002,98;2420,5;1899,44;2323,59;1843,41;2500,93;2014,46;2579,32;2054,55;2652,97;2181,73;2479,69;2090,26;2627,33;1852,06;1859,9;2288,04;2836,55;2520,85;3133,33;2722,11;3455,63;2852,41;3492,16;2959,16;3267,57;2868,97;2972,9;2774,53;3402,03;2487,72;3201,08;2694,17;3389,54
Nord Ovest;Piemonte;AL;cap;347,31;257,63;206,07;299,17;195,8;190,23;165,94;166,8;145,3;183,16;156,34;142,51;146,33;151,86;169,12;160,47;141,33;201,23;157,34;202,12;175,5;223,02;182,45;215,14;247;228,2;186,63;212,65;195,98;227,56;202,45;278,76;252,94;289,26;239,23;246,64;220,95;183;227,18;321,94;292,4;325,76;277,02;377,5;342,85;423,37;272,64;373,02;304,76;362,13;393,16;405,54;307,89;356,63;325,81;386,68
